p,minPageRank,maxPageRank
0.05,0.00986726,0.0101257
0.1,0.00973461,0.0102511
0.15,0.00960205,0.0103764
0.2,0.00946958,0.0105015
0.25,0.00933718,0.0106265
0.3,0.00920484,0.0107513
0.35,0.00907257,0.0108759
0.4,0.00894038,0.0110003
0.45,0.00880822,0.0111247
0.5,0.00867612,0.0112488
0.55,0.00854406,0.0113729
0.6,0.00841204,0.0114969
0.65,0.00828003,0.0116207
0.7,0.00814794,0.0117443
0.75,0.00801572,0.0118679
0.8,0.00788334,0.0119914
0.85,0.00775079,0.0121148
0.9,0.00761821,0.0122382
0.95,0.00748553,0.0123614
