p,max,min
0.95,0.222632,0.0713182
0.9,0.212828,0.0728863
0.85,0.203177,0.0744694
0.8,0.197769,0.0760649
0.75,0.194175,0.0776699
0.7,0.190275,0.0792812
0.65,0.186059,0.0808952
0.6,0.181518,0.0825083
0.55,0.176644,0.0841161
0.5,0.171429,0.0857143
0.45,0.165866,0.0872981
0.4,0.159953,0.0888626
0.35,0.153684,0.0904023
0.3,0.147059,0.0919118
0.25,0.140078,0.0933852
0.2,0.132743,0.0948167
0.15,0.12506,0.0962001
0.1,0.117035,0.0975293
0.05,0.108678,0.098798
