p,max,min
0.95,0.33305,0.0005
0.9,0.33214,0.001
0.85,0.330505,0.0015
0.8,0.328033,0.002
0.75,0.324595,0.0025
0.7,0.320046,0.003
0.65,0.314222,0.0035
0.6,0.306939,0.004
0.55,0.297989,0.0045
0.5,0.287143,0.005
0.45,0.274145,0.0055
0.4,0.258718,0.006
0.35,0.24056,0.0065
0.3,0.219353,0.007
0.25,0.194762,0.0075
0.2,0.166452,0.008
0.15,0.134094,0.0085
0.1,0.0973874,0.009
0.05,0.0560808,0.0095
