p,max,min
0.95,0.487692,0.001
0.9,0.474737,0.002
0.85,0.461081,0.003
0.8,0.446667,0.004
0.75,0.431429,0.005
0.7,0.415294,0.006
0.65,0.398182,0.007
0.6,0.38,0.008
0.55,0.360645,0.009
0.5,0.34,0.01
0.45,0.317931,0.011
0.4,0.294286,0.012
0.35,0.268889,0.013
0.3,0.241538,0.014
0.25,0.212,0.015
0.2,0.18,0.016
0.15,0.145217,0.017
0.1,0.107273,0.018
0.05,0.0657143,0.019
