p,max,min
0.95,0.487436,0.0005
0.9,0.474211,0.001
0.85,0.46027,0.0015
0.8,0.445556,0.002
0.75,0.43,0.0025
0.7,0.413529,0.003
0.65,0.396061,0.0035
0.6,0.3775,0.004
0.55,0.357742,0.0045
0.5,0.336667,0.005
0.45,0.314138,0.0055
0.4,0.29,0.006
0.35,0.264074,0.0065
0.3,0.236154,0.007
0.25,0.206,0.0075
0.2,0.173333,0.008
0.15,0.137826,0.0085
0.1,0.0990909,0.009
0.05,0.0566667,0.0095
