p,max,min
0.95,0.489744,0.005
0.9,0.478947,0.01
0.85,0.467568,0.015
0.8,0.455556,0.02
0.75,0.442857,0.025
0.7,0.429412,0.03
0.65,0.415152,0.035
0.6,0.4,0.04
0.55,0.383871,0.045
0.5,0.366667,0.05
0.45,0.348276,0.055
0.4,0.328571,0.06
0.35,0.307407,0.065
0.3,0.284615,0.07
0.25,0.26,0.075
0.2,0.233333,0.08
0.15,0.204348,0.085
0.1,0.172727,0.09
0.05,0.138095,0.095
