p,max,min
0.95,0.487231,0.00102759
0.9,0.473789,0.00105453
0.85,0.459622,0.00108292
0.8,0.444667,0.00111289
0.75,0.428857,0.00114457
0.7,0.412118,0.00117812
0.65,0.394364,0.0012137
0.6,0.3755,0.0012515
0.55,0.355419,0.00129174
0.5,0.334,0.00133467
0.45,0.311103,0.00138055
0.4,0.286571,0.00142972
0.35,0.260222,0.00148252
0.3,0.231846,0.00153939
0.25,0.2012,0.0016008
0.2,0.168,0.00166733
0.15,0.131913,0.00173965
0.1,0.0925455,0.00181855
0.05,0.0494286,0.00190495
