p,max,min
0.95,0.489744,0.0566952
0.9,0.478947,0.0578947
0.85,0.467568,0.0591592
0.8,0.455556,0.0604938
0.75,0.442857,0.0619048
0.7,0.429412,0.0633987
0.65,0.415152,0.0649832
0.6,0.4,0.0666667
0.55,0.383871,0.0684588
0.5,0.366667,0.0703704
0.45,0.348276,0.0724138
0.4,0.328571,0.0746032
0.35,0.307407,0.0769547
0.3,0.284615,0.0794872
0.25,0.26,0.0822222
0.2,0.233333,0.0851852
0.15,0.204348,0.0884058
0.1,0.172727,0.0919192
0.05,0.138095,0.0957672
