p,max,min
0.95,0.487692,0.0104553
0.9,0.474737,0.0107197
0.85,0.461081,0.0109983
0.8,0.446667,0.0112925
0.75,0.431429,0.0116035
0.7,0.415294,0.0119328
0.65,0.398182,0.012282
0.6,0.38,0.0126531
0.55,0.360645,0.0130481
0.5,0.34,0.0134694
0.45,0.317931,0.0139198
0.4,0.294286,0.0144023
0.35,0.268889,0.0149206
0.3,0.241538,0.0154788
0.25,0.212,0.0160816
0.2,0.18,0.0167347
0.15,0.145217,0.0174445
0.1,0.107273,0.0182189
0.05,0.0657143,0.0190671
